3Q2023-EXCEL,,,,,
DMF#,STATUS,TYPE,SUBMIT DATE,HOLDER,SUBJECT
29841,A,II,12/8/2015,LAURUS LABS LTD,RILPIVIRINE HYDROCHLORIDE
29842,A,II,1/14/2016,NATIONAL CENTER FOR NATURAL PRODUCTS RESEARCH,CBD CANNABIS EXTRACT
29843,I,II,10/1/2015,CIPLA LTD,IPRATROPIUM BROMIDE USP
29844,A,II,9/25/2015,ZAKLADY FARMACEUTYCZNE POLPHARMA SA,LINAGLIPTIN
29845,I,II,9/22/2015,TOMITA PHARMACEUTICAL CO LTD,MAGNESIUM HYDROXIDE NK USP
29846,A,III,9/24/2015,LUXFER GAS CYLINDERS,COMPRESSED GAS CYLINDER PACKAGE
29847,A,IV,9/23/2015,HENKEL CORP,GELVA GMS 7883 PRESSURE SENSITIVE ADHESIVE
29849,A,II,8/15/2016,ALP PHARM BEIJING CO LTD,VORTIOXETINE HYDROBROMIDE     
29850,A,II,8/10/2016,ALP PHARM BEIJING CO LTD,CLEVIDIPINE BUTYRATE
29851,A,II,10/21/2015,RAKS PHARMA PVT LTD,TERIFLUNOMIDE
29852,A,II,12/17/2015,RAKS PHARMA PVT LTD,ATAZANAVIR SULFATE
29853,A,II,12/24/2015,RAKS PHARMA PVT LTD,QUETIAPINE FUMARATE USP
29854,I,II,10/19/2015,SCINOPHARM TAIWAN LTD,EVEROLIMUS
29855,A,II,10/21/2015,MACLEODS PHARMACEUTICALS LTD,MEMANTINE HYDROCHLORIDE EXTENDED RELEASE PELLETS 28 MG
29856,I,III,9/18/2015,AMPACET CORP,4600752-N BLUE SMC PP MB
29857,A,III,9/28/2015,FOLIJAPLAST DOO,LD-PE PACKAGE MATERIAL
29858,I,II,9/29/2015,AARTI DRUGS LTD,ROFECOXIB
29859,A,II,9/17/2015,LIVZON GROUP FUZHOU FUXING PHARMACEUTICAL CO LTD,DAPTOMYCIN
29860,A,III,9/12/2015,YONWOO CORP,070 OIL C PUMP CLOSURE
29861,I,II,10/29/2015,NIPPON SHINYAKU CO LTD,NS-065/NCNP-01 
29862,A,II,12/30/2015,FORMOSA LABORATORIES INC,TERIFLUNOMIDE
29863,A,II,12/31/2015,SUN PHARMACEUTICAL INDUSTRIES LTD,EXENATIDE
29864,A,II,9/30/2016,SUN PHARMACEUTICAL INDUSTRIES LTD,AZACITIDINE
29865,A,II,12/31/2015,SUN PHARMACEUTICAL INDUSTRIES LTD,OLOPATADINE HYDROCHLORIDE USP
29866,A,II,10/31/2015,MSN ORGANICS PRIVATE LTD,"CINACALCET HYDROCHLORIDE [ROUTE CODE ""CN""]"
29867,A,II,10/20/2015,MSN LIFE SCIENCES PRIVATE LTD,"CANAGLIFLOZIN (AMORPHOUS) [ROUTE CODE ""CU""]"
29868,A,II,10/31/2015,MSN ORGANICS PRIVATE LTD,"ATOMOXETINE HYDROCHLORIDE USP [ROUTE CODE ""MY""]"
29869,A,II,9/30/2015,SYMBIOTEC PHARMALAB PRIVATE LTD,TESTOSTERONE USP (MICRONIZED)
29870,A,II,11/3/2015,MSN LABORATORIES PRIVATE LTD,"REGORAFENIB [ROUTE CODE ""RZ""]"
29871,A,II,11/3/2015,AMPHASTAR NANJING PHARMACEUTICALS INC,SODIUM NITROPRUSSIDE USP
29872,A,II,5/24/2016,TEVA PHARMACEUTICAL INDUSTRIES LTD,ENZALUTAMIDE
29873,A,II,11/6/2015,AMGEN INC,AMG 191 DRUG SUBSTANCE
29874,A,II,10/6/2015,MERCK KGAA,UREA 
29875,A,III,8/31/2015,SHANGHAI YINGQI DESICCANT CO LTD,YINGQI DESICCANT FOR DRUG PACKAGE MATERIAL
29876,A,II,11/9/2015,AMPHASTAR NANJING PHARMACEUTICALS INC,ISOPROTERENOL HYDROCHLORIDE USP
29877,A,II,11/6/2015,AMGEN INC,AMG 191 CELL LINE DEVELOPMENT
29878,A,IV,10/2/2015,TRELYST LLC,DDU-4830 SILICONE POLYMER EXCIPIENT SYSTEM
29879,A,IV,9/25/2015,FACI ASIA PACIFIC PTE LTD,"MAGNESIUM STEARATE, EUR. PHARM"
29880,A,III,10/2/2015,GLOPAK USA CORP,75CC AMBER PACKER 
29881,A,II,10/5/2015,SOLARA ACTIVE PHARMA SCIENCES LTD,MIDAZOLAM
29882,A,II,10/5/2015,HETERO LABS LTD,EZETIMIBE (FORM-B)
29883,A,II,11/6/2015,AMGEN INC,AMG 191 DRUG PRODUCT
29885,A,II,8/16/2016,NORAMCO LLC,"BUPRENORPHINE HYDROCHLORIDE, USP    "
29887,A,II,10/5/2015,HANGZHOU JIUYUAN GENE ENGINEERING CO LTD,FULVESTRANT
29888,A,II,10/21/2015,SHANGHAI YUKING WATER SOLUBLE MATERIAL TECH CO LTD,POVIDONE-IODINE
29889,A,II,10/6/2015,OPTIMUS DRUGS PRIVATE LTD,(R) -ALPHA-[[[2-(4-NITRO-PHENYL)-ETHYL]AMINO]METHYL]BENZENE METHANOL(MIRABEGRON INTERMEDIATE)
29890,A,II,10/6/2015,OPTIMUS DRUGS PRIVATE LTD,(R)-5-BROMO-3-[(1-METHYL-2-PYRROLIDINYL)METHYL]-1H-INDOLE (ELETRIPTAN INTERMEDIATE)
29891,A,V,9/25/2015,TRACE-ABILITY INC,ANALYTICAL METHOD TO BE USED FOR QUALITY CONTROL OF FLUDEOXYGLUCOSE (FDG) 18 INJECTION
29892,A,IV,10/6/2015,SYMRISE INC,914585 EVOSPRAY NATURAL GRAPE FLAVOR WONF
29893,A,IV,10/6/2015,SYMRISE INC,"980361 EVOSPRAY NATURAL &  ARTIFICIAL FLAVOR, MIXED BERRY TYPE"
29894,A,IV,10/6/2015,SYMRISE INC,433975 EVOSPRAY NATURAL CHERRY FLAVOR WONF
29895,A,IV,10/7/2015,HENKEL CORP,GELVA GMS 9073 PRESSURE SENSITIVE ADHESIVE
29896,A,IV,10/7/2015,HENKEL CORP,GELVA GMS 9083 PRESSURE SENSITIVE ADHESIVE
29897,I,II,7/3/2015,WANBURY LTD,PHENAZOPYRIDINE HYDROCHLORIDE DC GRANULES
29898,I,IV,10/6/2015,SIGMA ALDRICH IRELAND LTD,"N,N-DIMETHYLACETAMIDE (99.9%, PH EUR)"
29899,A,II,10/26/2015,MACLEODS PHARMACEUTICALS LTD,DULOXETINE HYDROCHLORIDE DELAYED-RELEASE PELLETS
29905,A,II,11/23/2015,EMCURE PHARMACEUTICALS LTD,MILRINONE USP
29906,A,II,12/7/2015,MERCK KGAA,TRISODIUM CITRATE DIHYDRATE
29907,I,II,11/13/2015,HUYA BIOSCIENCE INTERNATIONAL,HBI-8000 DRUG SUBSTANCE
29908,I,II,1/8/2016,HUYA BIOSCIENCE INTERNATIONAL,HBI-8000 DRUG PRODUCT
29909,I,II,1/14/2016,ABBVIE STEMCENTRX LLC A WHOLLY OWNED SUB OF ABBVIE INC,SC-LD002 DRUG SUBSTANCE INTERMEDIATE
29910,I,II,12/24/2015,LUPIN LTD,LORCASERIN HYDROCHLORIDE PREMIX
29911,A,IV,8/19/2016,TOLMAR INC,BIODEGRADABLE POLYMER EXCIPIENTS
29912,A,IV,10/12/2015,FONA INTERNATIONAL INC,"884.0872U ORANGE CREME TYPE FLAVOR, NAT & ART"
29913,A,II,8/31/2016,TEVA PHARMACEUTICAL INDUSTRIES LTD,DIMETHYL FUMARATE
29914,A,II,10/9/2015,SHANDONG NEW TIME PHARMACEUTICAL CO LTD,ORLISTAT
29915,A,II,10/7/2015,CHANGZHOU BOHIV PHARMACEUTICAL TECHNOLOGY CO LTD,TREPROSTINIL INTERMEDIATE (PG14-15A)
29916,A,IV,10/14/2015,SYMRISE INC,812132 NATURAL & ARTIFICIAL STRAWBERRY LEMON CREAM TYPE FLAVOR WL-23059
29917,I,II,10/6/2015,PROCOS SPA,ALVERINE CITRATE
29918,A,II,10/10/2015,ZHEJIANG JIUZHOU PHARMACEUTICAL CO LTD,AXITINIB
29919,A,II,10/30/2015,GLENMARK LIFE SCIENCES LTD,LULICONAZOLE
29920,I,II,10/8/2015,JIAOZUO JOINCARE BIOTECHNOLOGICAL CO LTD,MYCOPHENOLIC ACID
29921,A,II,10/8/2015,TIANJIN PHARMACEUTICAL HOLDINGS GENCOM PHARMACY CO LTD,GLYBURIDE
29922,A,II,10/8/2015,TIANJIN PHARMACEUTICAL HOLDINGS GENCOM PHARMACY CO LTD,REPAGLINIDE
29923,A,II,10/8/2015,TIANJIN PHARMACEUTICAL HOLDINGS GENCOM PHARMACY CO LTD,RIBOFLAVIN 5'-PHOSPHATE SODIUM
29924,A,II,3/11/2016,GLENMARK LIFE SCIENCES LTD,AZELAIC ACID
29925,A,II,12/31/2015,LUPIN LTD,MIRABEGRON
29926,A,II,10/19/2015,FRED HUTCHINSON CANCER CENTER,B9E9SCFV4-SA FUSION PROTEIN
29927,A,IV,10/2/2015,TASTEPOINT BY IFF,MICHAELOK® NATURAL AND ARTIFICIAL MILKY VANILLA FLAVOR #2713
29928,A,IV,10/2/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL AND ARTIFICIAL MILKY VANILLA FLAVOR #4613
29929,A,IV,10/2/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL FRUIT PUNCH FLAVOR #3629
29930,A,IV,10/2/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL AND ARTIFICIAL STRAWBERRY BANANA FLAVOR #3620
29931,A,IV,10/13/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL LIME FLAVOR WONF #4704
29932,A,II,3/25/2015,SALVI CHEMICAL INDUSTRIES LTD,DRIED FERROUS SULFATE USP
29933,A,II,10/14/2015,HIKAL LTD,VILDAGLIPTIN
29935,A,II,12/7/2015,ALKERMES INC,NCD MELOXICAM BULK INTERMEDIATE
29937,A,IV,10/21/2015,SYMRISE INC,242074 ENTRAPPED NATURAL & ARTIFICIAL STRAWBERRY TYPE FLAVOR WL-4010
29939,A,III,10/16/2015,AMPACET CORP,4400172-NA ORANGE SMC PP MB
29940,A,II,10/21/2015,SOLARA ACTIVE PHARMA SCIENCES LTD,COLCHICINE
29941,A,II,11/29/2015,ALEMBIC PHARMACEUTICALS LTD,SORAFENIB TOSYLATE
29942,A,V,10/26/2015,ERASMUS UNIV MEDCTR ROTTERDAM,GLOBAL PBC STUDY GROUP DATASETS
29943,A,III,10/22/2015,VERSALIS SPA,PHARMALENE MT 10 PH
29944,A,III,10/22/2015,VERSALIS SPA,PHARMALENE MP 31 PH
29945,A,IV,10/22/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL MIXED BERRY FLAVOR WONF #4216
29946,A,IV,10/22/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL RASPBERRY FLAVOR WONF #4975  
29947,A,IV,10/22/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL BLACKBERRY FLAVOR WONF #4698    
29948,A,IV,10/20/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL COCONUT FLAVOR WONF #3728   
29949,A,IV,10/20/2015,DAVID MICHAEL AND CO INC,"MICHAELOK® NATURAL AND ARTIFICIAL ""COOKIES AND CREAM TYPE"" FLAVOR #4760"
29950,A,IV,10/16/2015,DAVID MICHAEL AND CO INC,MICHAELOK® NATURAL ORANGE FLAVOR WONF #4705  
29951,A,II,11/5/2015,ALEMBIC PHARMACEUTICALS LTD,ETORICOXIB
29953,A,III,11/28/2015,PIONEER PHARMACHEM,"PLASTIC BOTTLES, JARS, CAPS, MEASURING CUPS & TABLET APPLICATORS"
29954,A,II,11/30/2015,ZHEJIANG YONGTAI PHARMACEUTICAL CO LTD,METOPROLOL SUCCINATE USP
29955,A,II,11/9/2015,MACLEODS PHARMACEUTICALS LTD,CYCLOBENZAPRINE HYDROCHLORIDE EXTENDED RELEASE PELLETS
29956,I,III,10/27/2015,LOPAREX LLC,GRADE 54221 - C 48# CL PET H/H S928440/000
29957,A,III,10/26/2015,VERSALIS SPA,PHARMALENE MP 30 PH
29958,A,III,8/24/2015,ALUTECH PACKAGING PVT LTD,"ALU-ALU FOIL (SILPACK)™, BLISTER FOIL, STRIP FOIL PLAIN, COLORED AND PRINTED"
29959,A,III,10/26/2015,VERSALIS SPA,PHARMALENE MR 10 PH
29960,A,III,10/26/2015,VERSALIS SPA,PHARMALENE FC 20 PH
29961,A,IV,10/26/2015,DAVID MICHAEL AND CO INC,NATURAL AND ARTIFICIAL CHOCOLATE FLAVOR POWDER #50083
29962,A,IV,10/26/2015,DAVID MICHAEL AND CO INC,NATURAL FLAVOR CREAMY VANILLA TYPE #50043 O.S.
29963,A,III,10/28/2015,AVIENT CORP,EM10021584XX
29964,A,IV,10/28/2015,SYMRISE INC,736912 EVOGLASS® NATURAL & ARTIFICIAL LEMON FLAVOR 0.6MM
29965,A,IV,10/26/2015,BASF SE,KOLLICOAT® SMARTSEAL 100 P
29966,A,III,10/27/2015,CHROMA COLOR CORPORATION,PC75912B 25/1 TRANS AMBER COLOR CONCENTRATE
29967,A,IV,10/29/2015,SYMRISE INC,243338 ENTRAPPED NATURAL & ARTIFICIAL APPLE TYPE FLAVOR WL-5019
29968,A,III,10/30/2015,BESPAK EUROPE LTD,BK749 DRY POWDER INHALER (DPI) 
29969,A,IV,10/12/2015,NCPC BIOTECHNOLOGY BRANCH CO,RECOMBINANT HUMAN SERUM ALBUMIN
29970,A,II,11/30/2015,MEDICHEM SA,MED-201080/E
29971,I,II,11/23/2015,AMRI INDIA PVT LTD,ATENOLOL USP DRUG SUBSTANCE
29972,A,III,10/27/2015,SHIVAMANI PHARMA PACK PVT LTD,TUBULAR GLASS VIALS USP TYPE I
29974,A,II,11/28/2016,STERILE INDIA PVT LTD,ESOMEPRAZOLE SODIUM (STERILE)
29975,A,II,12/10/2015,LUPIN LTD,FLUTICASONE PROPIONATE USP
29976,A,IV,11/9/2015,SUDEEP PHARMA PVT LTD,DI BASIC CALCIUM PHOSPHATE DIHYDRATE USP  
29977,A,II,11/6/2015,CENTAUR PHARMACEUTICALS PRIVATE LTD,LOXAPINE SUCCINATE USP
29978,A,III,10/22/2015,BASELL POLIOLEFINE ITALIA SRL,PURELL PE 3020 K
29979,A,II,11/28/2016,STERILE INDIA PVT LTD,PANTOPRAZOLE SODIUM (STERILE)
29980,A,II,11/28/2016,STERILE INDIA PVT LTD,RABEPRAZOLE SODIUM (STERILE)
29981,A,II,11/28/2016,STERILE INDIA PVT LTD,OMEPRAZOLE SODIUM (STERILE)
29982,A,II,11/28/2016,STERILE INDIA PVT LTD,CEFTRIAXONE SODIUM USP (STERILE) 
29983,A,II,11/28/2016,STERILE INDIA PVT LTD,CEFUROXIME SODIUM USP (STERILE)
29984,A,II,5/4/2018,STERILE INDIA PVT LTD,AMPICILLIN SODIUM USP (STERILE)
29985,A,II,11/28/2016,STERILE INDIA PVT LTD,MEROPENEM FOR INJECTION USP
29986,A,II,11/28/2016,STERILE INDIA PVT LTD,AZITHROMYCIN (LYOPHILIZED BULK STERILE)
29987,A,IV,11/11/2015,XINCHANG KAITAI CAPSULE CO LTD,MEDICAL EMPTY CAPSULES
29988,A,III,10/26/2015,QINGDAO HUAREN MEDICIAL PRODUCT CO LTD,SYNTHETIC POLYISOPRENE RUBBER CLOSURE FOR INJECTION USE
29989,A,II,11/2/2015,MACCO ORGANIQUES SRO,"SODIUM SULFATE, USP"
29990,A,II,11/3/2015,OLON SPA,GLYCOPYRRONIUM BROMIDE
29991,A,II,11/4/2015,SMS PHARMACEUTICALS LTD,ARIPIPRAZOLE USP
29992,I,II,11/4/2015,ZHEJIANG JINHUA CONBA BIO PHARM CO LTD,ESOMEPRAZOLE MAGNESIUM DIHYDRATE
29993,A,II,11/5/2015,YALE UNIV PET CENTER,[18F] FMISO
29994,A,II,11/28/2016,STERILE INDIA PVT LTD,PIPERACILLIN & TAZOBACTAM SODIUM (STERILE)
29995,A,II,11/28/2016,STERILE INDIA PVT LTD,ACICLOVIR SODIUM (STERILE)
29996,A,II,2/19/2016,MACLEODS PHARMACEUTICALS LTD,NEBIVOLOL HYDROCHLORIDE
29997,A,II,12/22/2015,MACLEODS PHARMACEUTICALS LTD,METHIMAZOLE
29998,A,II,11/6/2015,DIVIS LABORATORIES LTD,MESALAMINE USP
29999,A,II,3/31/2016,TARO PHARMACEUTICAL INDUSTRIES LTD,DAPSONE USP
30000,A,II,12/6/2015,MSN LABORATORIES PRIVATE LTD,TREPROSTINIL DIETHANOLAMINE [ROUTE CODE TB]
30001,A,II,11/13/2015,FORMOSA LABORATORIES INC,COLESEVELAM HYDROCHLORIDE
30002,A,II,11/13/2015,FORMOSA LABORATORIES INC,SEVELAMER CARBONATE
30003,A,II,12/9/2015,DAIICHI SANKYO CO LTD,MAAA-1162A
30004,I,V,12/2/2015,CLEAVE BIOSCIENCES INC,NONCLINICAL INFORMATION FOR CB-5083
30005,I,II,12/23/2015,CLEAVE BIOSCIENCES INC,CB-5083 DRUG SUBSTANCE
30006,I,II,12/23/2015,CLEAVE BIOSCIENCES INC,CB-5083 CAPSULES
30007,A,II,11/4/2015,BIZEN CHEMICAL CO LTD,BIZEN EPA-E (ICOSAPENT ETHYL) DRUG SUBSTANCE
30008,A,II,12/3/2015,SPECGX LLC,HYDROCODONE BASE (NP)
30009,I,II,11/27/2015,MYLAN LABORATORIES LTD,PEMETREXED DISODIUM HEMIPENTAHYDRATE
30010,A,II,11/28/2015,MYLAN LABORATORIES LTD,ENZALUTAMIDE
30011,A,II,11/26/2015,MYLAN LABORATORIES LTD,DOLUTEGRAVIR SODIUM
30012,A,II,11/30/2015,MYLAN LABORATORIES LTD,OSELTAMIVIR PHOSPHATE USP
30013,A,II,12/24/2015,MYLAN LABORATORIES LTD,TENOFOVIR ALAFENAMIDE FUMARATE
30014,A,II,11/24/2015,FERMION OY,HYDROXYCHLOROQUINE SULPHATE
30015,A,II,12/8/2015,DR REDDYS LABORATORIES LTD,LORCASERIN HYDROCHLORIDE HEMIHYDRATE
30016,A,IV,11/9/2015,NUSIL TECHNOLOGY LLC,DDU-4870 SILICONE POLYMER EXCIPIENT SYSTEM
30017,A,III,10/30/2015,TPAC PACKAGING INDIA PRIVATE LTD,PET BOTTLES FOR PHARMACEUTICALS PACKING
30018,A,III,11/3/2015,AMPACET CORP,192434 KOSHER FDA BLACK PE MB
30019,A,III,11/5/2015,TOSAF COMPOUNDS LTD,PACKAGING RAW MATERIALS
30020,A,II,12/10/2015,MACLEODS PHARMACEUTICALS LTD,ESOMEPRAZOLE MAGNESIUM DELAYED - RELEASE PELLETS
30021,A,II,12/14/2015,MACLEODS PHARMACEUTICALS LTD,LANSOPRAZOLE DELAYED - RELEASE PELLETS
30022,I,III,11/13/2015,CHROMA COLOR CORP,COLOR FORMULATIONS
30023,A,II,11/12/2015,CORDEN PHARMA COLORADO INC,VALGANCICLOVIR HYDROCHLORIDE
30024,A,II,12/15/2015,HONOUR LAB LTD,AVANAFIL
30025,A,II,11/4/2015,BIZEN CHEMICAL CO LTD,BIZEN EPA-EC (ICOSAPENT ETHYL) DRUG SUBSTANCE INTERMEDIATE
30026,A,III,11/10/2015,HOWA SANGYO CO LTD,EASY-PEEL LIDDING FILM FOR PACKAGING IV BAGS
30027,A,IV,11/10/2015,SUMITOMO SEIKA CHEMICALS CO LTD,"POLYETHYLENE OXIDE (PEO): A NON-IONIC WATER SOLUBLE THERMOPLASTIC RESIN PEO-5NF, PEO-6NF AND PEO-8NF"
30028,A,II,11/11/2015,BRIGHTGENE BIO-MEDICAL TECHNOLOGY CO LTD,MICAFUNGIN SODIUM INTERMEDIATE MFA
30029,A,II,2/12/2016,HUBEI ENORAY BIOPHARMACEUTICAL CO LTD,HEPARIN SODIUM USP
30030,A,II,11/30/2015,ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD,MIRABEGRON
30031,A,IV,11/16/2015,ROTEM INDUSTRIES LTD,DILUENT FOR USE IN F-18 FLUDEOXYGLUCOSE MANUFACTURING
30032,A,IV,11/17/2015,FONA INTERNATIONAL INC," 856.0230U GRAPE TYPE FLAVOR, NAT"
30033,A,IV,11/17/2015,SUBHASH CHEMICAL INDUSTRIES PVT LTD,MEDIUM CHAIN TRIGLYCERIDES USP-NF
30034,A,IV,11/18/2015,FONA INTERNATIONAL INC,"PRODUCT# 807.0080U N-C MIXED BERRY FLAVOR, NAT & ART"
30035,A,II,11/16/2015,OLON SPA,DOXORUBICIN HYDROCHLORIDE
30036,A,II,4/15/2016,UNION QUIMICO FARMACEUTICA SA (UQUIFA SA),ESOMEPRAZOLE MAGNESIUM DIHYDRATE
30037,A,IV,11/20/2015,FONA INTERNATIONAL INC," 825.662 CHERRY FLAVOR, ARTIFICIAL"
30038,A,III,11/10/2015,SEKISUI FULLER CO LTD,S-DINE 9165IW 
30039,A,II,12/9/2015,PPM SERVICES SA,(S)-(-)-3-(4-AMINOPHENYL)-2-METHOXYPROPIONIC ACID
30040,A,III,11/20/2015,RAJA RAJESWARI FLEXI PACKING,LAMINATED ALUMINIUM POUCH
30041,I,II,1/28/2016,JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD,"OLANZAPINE USP, NON-STERILE"
30042,A,II,12/17/2015,INDUSTRIALE CHIMICA SRL,DOFETILIDE USP
30043,A,II,12/4/2015,SCINOPHARM TAIWAN LTD,LAPATINIB DITOSYLATE
30044,A,III,11/23/2015,SCG PERFORMANCE CHEMICALS CO LTD,PP EL-PRO™ P859JMR
30045,A,III,11/24/2015,CCL TUBE,POLYETHYLENE TUBE
30046,A,III,11/23/2015,SCG PERFORMANCE CHEMICALS CO LTD,PP EL-PRO™ P705JM
30047,A,III,11/23/2015,SCG PERFORMANCE CHEMICALS CO LTD,PP EL-PRO™ P755JM
30048,A,III,12/11/2015,WEST PHARMACEUTICAL SERVICES INC,"ELASTOMER FORMULATIONS, COATINGS AND FILMS"
30049,A,III,11/13/2015,FUJIMORI KOGYO CO LTD,PLASTIC FILM AND BAG FOR USE IN DRUG SUBSTANCE AND PRODUCT CONTAINER (NO. 002) 
30050,A,III,11/13/2015,FUJIMORI KOGYO CO LTD,PLASTIC FILM AND BAG FOR USE IN DRUG SUBSTANCE AND PRODUCT CONTAINER (NO. 001)
30051,A,II,11/10/2015,KANEKA CORPORATION JAPAN,UBIDECARENONE
30052,A,II,12/3/2015,CORDEN PHARMA CHENOVE,NEBIVOLOL HYDROCHLORIDE
30053,I,IV,12/21/2015,TTY BIOPHARM CO LTD,ENHANCER R015 COPOLYMER (POLY(DL-LACTIC-CO-GLYCOLIC ACID)
30054,I,II,12/31/2015,CIPLA LTD,SAXAGLIPTIN HYDROCHLORIDE
30055,A,II,3/17/2016,CIPLA LTD,DOLUTEGRAVIR SODIUM
30056,A,II,2/3/2016,ZHEJIANG HAISEN PHARMACEUTICAL CO LTD,SUCRALFATE NON STERILE BULK DRUG SUBSTANCE
30057,A,II,2/8/2016,GLENMARK LIFE SCIENCES LTD,ALOGLIPTIN BENZOATE
30058,A,III,12/7/2015,SAINT GOBAIN PERFORMANCE PLASTICS,FABRIC C/1/S WITH 7005 SILICONE RELEASE COATING
30059,I,III,11/30/2015,NANIWA RUBBER CO LTD,MK RUBBER  STOPPER
30060,A,II,12/31/2015,GLENMARK LIFE SCIENCES LTD,APIXABAN
30061,A,II,11/30/2015,SUVEN PHARMACEUTICALS LTD,GLYCOPYRROLATE USP
30062,A,IV,12/8/2015,TRELYST LLC,DDU-4840 SILICONE POLYMER EXCIPIENT SYSTEM
30063,A,II,2/1/2016,GRANULES INDIA LTD,"CETIRIZINE HYDROCHLORIDE, USP"
30064,A,III,12/2/2015,QATAR CHEMICAL CO LTD,LOTRENE® POLYETHYLENE PRODUCTS
30065,A,II,1/29/2016,GLENMARK LIFE SCIENCES LTD,MIRABEGRON
30066,A,III,12/2/2015,MITSUBISHI GAS CHEMICAL CO INC,OXYGEN ABSORBER - AGELESS TYPE ZH
30067,A,II,12/1/2015,VISTIN PHARMA AS,METFORMIN DC 92.6% LUBRICATED GRANULES 
30068,A,IV,12/3/2015,FONA INTERNATIONAL INC,"856.2089U GRAPE TYPE FLAVOR, NAT"
30069,A,III,10/28/2015,HAR ADHESIVE TECHNOLOGIES,"ADHESIVE, MH-1070"
30070,A,V,12/2/2015,LONZA BIOLOGICS PLC,"LONZA BIOLOGICS SLOUGH, UK FACILITY"
30071,A,II,1/26/2016,HAINAN SHUANGCHENG PHARMACEUTICALS CO LTD,BIVALIRUDIN
30072,I,III,2/8/2016,HB FULLER CO,FLEXTRA® SBA-4245-NHS
30073,I,III,2/8/2016,HB FULLER CO,FLEXTRA FAST ®XAS-2283
30074,A,II,12/11/2015,ABX ADVANCED BIOCHEMICAL COMPOUNDS BIOMEDIZINISCHE FORSCHUNGSREAGENZIEN GMBH,TETRAKIS (2-METHOXY-ISOBUTYL ISONITRILE) COPPER (I) TETRAFLUOROBORATE
30075,A,II,12/30/2015,MSN LIFE SCIENCES PRIVATE LTD,ESOMPERAZOLE SODIUM [ROUTE CODE EU]
30076,A,II,12/31/2015,MSN LIFE SCIENCES PRIVATE LTD,ESOMEPRAZOLE MAGNESIUM USP (DIHYDRATE) [ROUTE CODE EP]
30077,A,II,1/13/2016,MSN LABORATORIES PRIVATE LTD,BEXAROTENE [ROUTE CODE BX]
30078,A,III,12/4/2015,MITSUBISHI GAS CHEMICAL CO INC,OXYGEN INDICATOR
30079,A,II,11/23/2015,WEIFANG SHENGTAI MEDICINE CO LTD,DEXTROSE MONOHYDRATE 
30080,A,III,11/5/2015,CANGZHOU FOUR STARS GLASS CO LTD,NEUTRAL BOROSILICATE GLASS TUBULAR VIAL
30081,A,III,11/9/2015,CANGZHOU FOUR STARS GLASS CO LTD,NEUTRAL BOROSILICATE GLASS AMPOULE
30082,A,II,12/22/2015,JUBILANT PHARMOVA LTD,SITAGLIPTIN PHOSPHATE USP
30083,A,II,2/25/2016,RAKS PHARMA PVT LTD,POTASSIUM DOBESILATE
30084,A,II,5/13/2016,RAKS PHARMA PVT LTD,DEXLANSOPRAZOLE (ROUTE CODE - DR)
30085,A,II,12/28/2015,RAKS PHARMA PVT LTD,DIMETHYL FUMARATE
30086,A,II,12/23/2015,AUROBINDO PHARMA LTD,MIRABEGRON
30087,A,II,11/23/2015,WEIFANG SHENGTAI MEDICINE CO LTD,DEXTROSE ANHYDROUS
30088,A,II,12/31/2015,DR REDDYS LABORATORIES LTD,NILOTINIB HYDROCHLORIDE
30089,A,V,4/14/2016,FAREVA UNTERACH GMBH,"STERILE MANUFACTURING FACILITY EBEWE PHARMA GES M.B.H. NFG. KG IN UNTERACH, AUSTRIA"
30090,A,II,12/30/2015,BRIGHTGENE BIO-MEDICAL TECHNOLOGY CO LTD,"PIMECROLIMUS (NON-STERILE, API) "
30091,A,II,1/6/2016,SCINOPHARM TAIWAN LTD,DOCETAXEL USP
30092,A,II,12/29/2015,ALEMBIC PHARMACEUTICALS LTD,LURASIDONE HYDROCHLORIDE
30093,A,II,12/30/2015,ALEMBIC PHARMACEUTICALS LTD,ALOGLIPTIN BENZOATE
30094,A,II,12/22/2015,CURIA NEW YORK INC,DRONABINOL IN ETHANOL DRUG SUBSTANCE
30095,A,II,12/7/2015,HYBIO PHARMACEUTICAL CO LTD,LIRAGLUTIDE NON-STERILE BULK DRUG SUBSTANCE
30096,A,II,1/15/2016,HISAMITSU PHARMACEUTICAL CO INC,HP-3070 TRANSDERMAL SYSTEM
30097,A,IV,5/26/2016,TRELYST LLC,DDU-4320 SILICONE POLYMER EXCIPIENT SYSTEM
30098,A,II,12/9/2015,HETERO LABS LTD,NILOTINIB HYDROCHLORIDE DIHYDRATE
30099,A,III,10/26/2015,JINDAL INDIA LTD,BARE ALUMINIUM FOIL FOR PHARMA BLISTER AND STRIP PACKING
